               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12424,            0.026717,            0.050487,          1.8372e-06,          0.00035236,          9.2342e-07,          2.7703e-07,              0.1042,            0.020303,            0.042031,            0.070714,            0.003254,            0.003254
                   1,              0.1182,            0.024095,            0.047677,          1.4683e-06,          0.00035236,           7.773e-07,          1.5546e-07,            0.099189,            0.022439,            0.038442,            0.040649,           0.0065221,           0.0065221
                   2,              0.1104,            0.027328,            0.043301,           0.0003881,            0.025452,          0.00020791,          4.8971e-05,             0.09472,            0.023456,            0.035286,            0.010518,           0.0097242,           0.0097242
                   3,             0.10638,            0.029156,            0.039196,           0.0018353,             0.15885,           0.0061233,            0.001309,            0.092019,            0.025024,            0.034626,            0.009703,            0.009703,            0.009703
                   4,            0.099614,            0.028822,            0.037538,             0.21629,            0.066867,            0.025338,           0.0060465,            0.086998,            0.026264,            0.033249,            0.009703,            0.009703,            0.009703
                   5,            0.094972,            0.027823,            0.036966,             0.41669,              0.1008,            0.060322,             0.01515,            0.076585,            0.027251,            0.030325,            0.009604,            0.009604,            0.009604
                   6,            0.078596,            0.028643,            0.033647,             0.58369,             0.17229,            0.085777,            0.022255,             0.07166,            0.029355,            0.029074,            0.009505,            0.009505,            0.009505
                   7,            0.077493,            0.027074,            0.036476,            0.089161,             0.25309,            0.077535,            0.018958,            0.068843,            0.025689,            0.028948,            0.009406,            0.009406,            0.009406
                   8,            0.072273,            0.025533,            0.032895,             0.15573,             0.26397,             0.16108,            0.043181,            0.063469,              0.0216,            0.027099,            0.009307,            0.009307,            0.009307
                   9,            0.065841,            0.024371,            0.031856,             0.18307,             0.41408,              0.1966,            0.064357,            0.055991,            0.021451,            0.026254,            0.009208,            0.009208,            0.009208
                  10,            0.071261,            0.024209,            0.033069,             0.26385,             0.42521,             0.32924,             0.13253,            0.051243,            0.019364,            0.024874,            0.009109,            0.009109,            0.009109
                  11,            0.064316,            0.023042,            0.029552,             0.25401,             0.45818,             0.29367,             0.10549,            0.056802,            0.017595,            0.024337,             0.00901,             0.00901,             0.00901
                  12,            0.062459,            0.022199,            0.028622,             0.28562,             0.51457,             0.31523,             0.10592,            0.054286,            0.017737,            0.023711,            0.008911,            0.008911,            0.008911
                  13,             0.05689,            0.021473,            0.028045,             0.37212,             0.55292,             0.41126,             0.14431,            0.048194,            0.017271,            0.021987,            0.008812,            0.008812,            0.008812
                  14,            0.061487,            0.021621,            0.029988,             0.39744,              0.5696,             0.49169,             0.20132,            0.046691,            0.016817,            0.021385,            0.008713,            0.008713,            0.008713
                  15,            0.057523,            0.020463,            0.026158,             0.47376,             0.61711,             0.53715,             0.21445,             0.04532,            0.016933,             0.01961,            0.008614,            0.008614,            0.008614
                  16,            0.056721,            0.020394,            0.025481,             0.56237,             0.68071,             0.59382,             0.25338,            0.043653,            0.015374,            0.018823,            0.008515,            0.008515,            0.008515
                  17,            0.054853,             0.01998,            0.023069,             0.53726,             0.67343,             0.56835,             0.21488,            0.042738,            0.015429,            0.017885,            0.008416,            0.008416,            0.008416
                  18,            0.051868,            0.019072,            0.021943,             0.62646,             0.70016,             0.63348,             0.27321,            0.042352,            0.015146,            0.016669,            0.008317,            0.008317,            0.008317
                  19,            0.054624,            0.018758,            0.020367,             0.60218,             0.67585,              0.6353,             0.25329,            0.042194,            0.014936,             0.01521,            0.008218,            0.008218,            0.008218
                  20,            0.052233,            0.019144,            0.018809,              0.6769,             0.69578,             0.69618,             0.29072,            0.041178,            0.014788,            0.014423,            0.008119,            0.008119,            0.008119
                  21,            0.052851,            0.017854,            0.018997,             0.62632,             0.69449,             0.63076,             0.24797,            0.046643,            0.014012,            0.013686,             0.00802,             0.00802,             0.00802
                  22,            0.053467,            0.018182,            0.018882,             0.65872,              0.7407,             0.69072,             0.27652,            0.041374,            0.013931,            0.013215,            0.007921,            0.007921,            0.007921
                  23,            0.049647,            0.017463,            0.017998,             0.63012,             0.72888,             0.68547,             0.26368,             0.04171,            0.014314,            0.012035,            0.007822,            0.007822,            0.007822
                  24,            0.049585,            0.017482,            0.016632,             0.74246,             0.75823,               0.769,             0.32824,             0.04264,            0.014476,            0.011982,            0.007723,            0.007723,            0.007723
                  25,            0.051217,            0.017088,            0.015499,             0.78243,             0.75456,              0.7946,             0.36273,            0.040162,            0.014338,            0.011507,            0.007624,            0.007624,            0.007624
                  26,            0.051922,            0.017699,            0.016293,             0.80862,             0.77474,              0.8024,               0.335,            0.040351,            0.013674,            0.010415,            0.007525,            0.007525,            0.007525
                  27,            0.049487,            0.017436,            0.014941,             0.81062,             0.78088,             0.81826,             0.36628,            0.038532,            0.013669,           0.0093294,            0.007426,            0.007426,            0.007426
                  28,             0.04981,            0.017222,            0.014316,             0.86414,             0.80653,             0.85788,             0.38491,            0.037216,            0.013442,           0.0089279,            0.007327,            0.007327,            0.007327
                  29,            0.048105,            0.016499,            0.012312,             0.82119,             0.79547,             0.85356,             0.37838,             0.03856,            0.014635,           0.0084983,            0.007228,            0.007228,            0.007228
                  30,            0.049049,               0.016,            0.012996,             0.87495,             0.81452,             0.86454,             0.38783,            0.037878,            0.013078,           0.0078657,            0.007129,            0.007129,            0.007129
                  31,             0.04881,            0.016786,            0.014065,             0.89285,             0.84727,             0.89669,             0.41523,            0.036191,             0.01278,           0.0073122,             0.00703,             0.00703,             0.00703
                  32,            0.046227,            0.016245,            0.014035,             0.88799,             0.80539,             0.85574,             0.35058,             0.03856,            0.013324,           0.0071036,            0.006931,            0.006931,            0.006931
                  33,            0.049498,            0.016925,             0.01275,             0.86433,             0.81582,             0.86756,             0.37944,            0.037079,            0.013296,            0.007064,            0.006832,            0.006832,            0.006832
                  34,            0.048952,            0.016661,            0.011056,             0.82544,             0.82541,             0.82488,             0.33478,            0.040323,            0.012944,           0.0065178,            0.006733,            0.006733,            0.006733
                  35,            0.043814,            0.015576,            0.010634,             0.88169,             0.86273,             0.87924,             0.38404,            0.040326,            0.012517,           0.0057251,            0.006634,            0.006634,            0.006634
                  36,            0.044539,            0.015817,            0.010126,             0.93009,             0.88475,             0.91714,             0.40821,            0.035616,            0.012357,           0.0051812,            0.006535,            0.006535,            0.006535
                  37,            0.045392,            0.016308,           0.0096357,             0.93457,              0.8764,             0.91223,             0.42284,            0.035656,            0.012131,           0.0045581,            0.006436,            0.006436,            0.006436
                  38,              0.0482,            0.015969,            0.010516,             0.91754,              0.8716,             0.89995,             0.37748,            0.035614,            0.012473,           0.0047425,            0.006337,            0.006337,            0.006337
